Address,Function,Instruction
.text:0000000180164993,NtQueryInformationAtom, 152h
.text:00000001801649B3,NtQueryInformationByName, 153h
.text:00000001801649D3,ZwQueryInformationCpuPartition, 154h
.text:00000001801649F3,NtQueryInformationEnlistment, 155h
.text:0000000180164A13,NtQueryInformationJobObject, 156h
.text:0000000180164A33,NtQueryInformationPort, 157h
.text:0000000180164A53,NtQueryInformationResourceManager, 158h
.text:0000000180164A73,ZwQueryInformationTransaction, 159h
.text:0000000180164A93,NtQueryInformationTransactionManager, 15Ah
.text:0000000180164AB3,ZwQueryInformationWorkerFactory, 15Bh
.text:0000000180164AD3,NtQueryInstallUILanguage, 15Ch
.text:0000000180164AF3,NtQueryIntervalProfile, 15Dh
.text:0000000180164B13,NtQueryIoCompletion, 15Eh
.text:0000000180164B33,NtQueryIoRingCapabilities, 15Fh
.text:0000000180164B53,ZwQueryLicenseValue, 160h
.text:0000000180164B73,ZwQueryMultipleValueKey, 161h
.text:0000000180164B93,ZwQueryMutant, 162h
.text:0000000180164BB3,NtQueryOpenSubKeys, 163h
.text:0000000180164BD3,NtQueryOpenSubKeysEx, 164h
.text:0000000180164BF3,NtQueryPortInformationProcess, 165h
.text:0000000180164C13,NtQueryQuotaInformationFile, 166h
.text:0000000180164C33,ZwQuerySecurityAttributesToken, 167h
.text:0000000180164C53,NtQuerySecurityObject, 168h
.text:0000000180164C73,NtQuerySecurityPolicy, 169h
.text:0000000180164C93,ZwQuerySemaphore, 16Ah
.text:0000000180164CB3,NtQuerySymbolicLinkObject, 16Bh
.text:0000000180164CD3,NtQuerySystemEnvironmentValue, 16Ch
.text:0000000180164CF3,NtQuerySystemEnvironmentValueEx, 16Dh
.text:0000000180164D13,NtQuerySystemInformationEx, 16Eh
.text:0000000180164D33,ZwQueryTimerResolution, 16Fh
.text:0000000180164D53,ZwQueryWnfStateData, 170h
.text:0000000180164D73,NtQueryWnfStateNameInformation, 171h
.text:0000000180164D93,NtQueueApcThreadEx, 172h
.text:0000000180164DB3,NtQueueApcThreadEx2, 173h
.text:0000000180164DD3,ZwRaiseException, 174h
.text:0000000180164DF3,NtRaiseHardError, 175h
.text:0000000180164E13,ZwReadOnlyEnlistment, 176h
.text:0000000180164E33,NtReadVirtualMemoryEx, 177h
.text:0000000180164E53,ZwRecoverEnlistment, 178h
.text:0000000180164E73,ZwRecoverResourceManager, 179h
.text:0000000180164E93,NtRecoverTransactionManager, 17Ah
.text:0000000180164EB3,NtRegisterProtocolAddressInformation, 17Bh
.text:0000000180164ED3,NtRegisterThreadTerminatePort, 17Ch
.text:0000000180164EF3,NtReleaseKeyedEvent, 17Dh
.text:0000000180164F13,NtReleaseWorkerFactoryWorker, 17Eh
.text:0000000180164F33,ZwRemoveIoCompletionEx, 17Fh
.text:0000000180164F53,ZwRemoveProcessDebug, 180h
.text:0000000180164F73,NtRenameKey, 181h
.text:0000000180164F93,NtRenameTransactionManager, 182h
.text:0000000180164FB3,NtReplaceKey, 183h
.text:0000000180164FD3,NtReplacePartitionUnit, 184h
.text:0000000180164FF3,NtReplyWaitReplyPort, 185h
.text:0000000180165013,NtRequestPort, 186h
.text:0000000180165033,ZwResetEvent, 187h
.text:0000000180165053,ZwResetWriteWatch, 188h
.text:0000000180165073,NtRestoreKey, 189h
.text:0000000180165093,ZwResumeProcess, 18Ah
.text:00000001801650B3,ZwRevertContainerImpersonation, 18Bh
.text:00000001801650D3,ZwRollbackComplete, 18Ch
.text:00000001801650F3,NtRollbackEnlistment, 18Dh
.text:0000000180165113,ZwRollbackRegistryTransaction, 18Eh
.text:0000000180165133,ZwRollbackTransaction, 18Fh
.text:0000000180165153,NtRollforwardTransactionManager, 190h
.text:0000000180165173,NtSaveKey, 191h
.text:0000000180165193,NtSaveKeyEx, 192h
.text:00000001801651B3,ZwSaveMergedKeys, 193h
.text:00000001801651D3,NtSecureConnectPort, 194h
.text:00000001801651F3,ZwSerializeBoot, 195h
.text:0000000180165213,ZwSetBootEntryOrder, 196h
.text:0000000180165233,NtSetBootOptions, 197h
.text:0000000180165253,ZwSetCachedSigningLevel, 198h
.text:0000000180165273,NtSetCachedSigningLevel2, 199h
.text:0000000180165293,NtSetContextThread, 19Ah
.text:00000001801652B3,ZwSetDebugFilterState, 19Bh
.text:00000001801652D3,NtSetDefaultHardErrorPort, 19Ch
.text:00000001801652F3,NtSetDefaultLocale, 19Dh
.text:0000000180165313,ZwSetDefaultUILanguage, 19Eh
.text:0000000180165333,NtSetDriverEntryOrder, 19Fh
.text:0000000180165353,ZwSetEaFile, 1A0h
.text:0000000180165373,ZwSetEventEx, 1A1h
.text:0000000180165393,NtSetHighEventPair, 1A2h
.text:00000001801653B3,ZwSetHighWaitLowEventPair, 1A3h
.text:00000001801653D3,NtSetIRTimer, 1A4h
.text:00000001801653F3,ZwSetInformationCpuPartition, 1A5h
.text:0000000180165413,NtSetInformationDebugObject, 1A6h
.text:0000000180165433,NtSetInformationEnlistment, 1A7h
.text:0000000180165453,NtSetInformationIoRing, 1A8h
.text:0000000180165473,ZwSetInformationJobObject, 1A9h
.text:0000000180165493,ZwSetInformationKey, 1AAh
.text:00000001801654B3,NtSetInformationResourceManager, 1ABh
.text:00000001801654D3,NtSetInformationSymbolicLink, 1ACh
.text:00000001801654F3,NtSetInformationToken, 1ADh
.text:0000000180165513,NtSetInformationTransaction, 1AEh
.text:0000000180165533,ZwSetInformationTransactionManager, 1AFh
.text:0000000180165553,ZwSetInformationVirtualMemory, 1B0h
.text:0000000180165573,NtSetInformationWorkerFactory, 1B1h
.text:0000000180165593,NtSetIntervalProfile, 1B2h
.text:00000001801655B3,ZwSetIoCompletion, 1B3h
.text:00000001801655D3,ZwSetIoCompletionEx, 1B4h
.text:00000001801655F3,ZwSetLdtEntries, 1B5h
.text:0000000180165613,ZwSetLowEventPair, 1B6h
.text:0000000180165633,ZwSetLowWaitHighEventPair, 1B7h
.text:0000000180165653,ZwSetQuotaInformationFile, 1B8h
.text:0000000180165673,NtSetSecurityObject, 1B9h
.text:0000000180165693,ZwSetSystemEnvironmentValue, 1BAh
.text:00000001801656B3,ZwSetSystemEnvironmentValueEx, 1BBh
.text:00000001801656D3,ZwSetSystemInformation, 1BCh
.text:00000001801656F3,ZwSetSystemPowerState, 1BDh
.text:0000000180165713,ZwSetSystemTime, 1BEh
.text:0000000180165733,NtSetThreadExecutionState, 1BFh
.text:0000000180165753,ZwSetTimer2, 1C0h
.text:0000000180165773,ZwSetTimerEx, 1C1h
.text:0000000180165793,NtSetTimerResolution, 1C2h
.text:00000001801657B3,NtSetUuidSeed, 1C3h
.text:00000001801657D3,ZwSetVolumeInformationFile, 1C4h
.text:00000001801657F3,NtSetWnfProcessNotificationEvent, 1C5h
.text:0000000180165813,ZwShutdownSystem, 1C6h
.text:0000000180165833,ZwShutdownWorkerFactory, 1C7h
.text:0000000180165853,ZwSignalAndWaitForSingleObject, 1C8h
.text:0000000180165873,ZwSinglePhaseReject, 1C9h
.text:0000000180165893,ZwStartProfile, 1CAh
.text:00000001801658B3,ZwStopProfile, 1CBh
.text:00000001801658D3,ZwSubmitIoRing, 1CCh
.text:00000001801658F3,NtSubscribeWnfStateChange, 1CDh
.text:0000000180165913,ZwSuspendProcess, 1CEh
.text:0000000180165933,NtSuspendThread, 1CFh
.text:0000000180165953,ZwSystemDebugControl, 1D0h
.text:0000000180165973,NtTerminateEnclave, 1D1h
.text:0000000180165993,NtTerminateJobObject, 1D2h
.text:00000001801659B3,ZwTestAlert, 1D3h
